id,mesin,value,created_at
010318cc-737c-490c-a33d-dc3e027b7daf,blanking,Baut pad terlalu panjang,2026-07-17 06:35:11.487156+00
025d9cf6-c701-4a6a-a817-16e362bb306e,blanking,Die gompal,2026-07-17 06:35:11.487156+00
0273d467-6165-427c-93ef-9226f01496bb,blanking,FLYWHEEL BRAKE FAULT,2026-07-17 06:35:11.487156+00
02a991cb-e055-430e-ac67-ef2ebe7f78a3,transfer_2000t,PAR NEMPEL DI UPPER DIES,2026-07-17 06:35:11.487156+00
03a4dcad-82d9-49c4-86e7-c1c2f908c46a,transfer_800t,Pengecekan bearing as slider,2026-07-17 06:35:11.487156+00
049d3594-c100-40b3-93aa-9df1b0fb6cc9,blanking,Scrap conveyor fault,2026-07-17 06:35:11.487156+00
051281f9-30a4-4e09-bbe9-98e36232d7a7,blanking,Lifter belakang patah,2026-07-17 06:35:11.487156+00
056afd7c-4136-4a70-8955-a2e62f3919db,transfer_800t,PENGARAH FINGGER RUSAK,2026-07-17 06:35:11.487156+00
05fc7a3b-e9f1-4eb4-a13f-851d477516c4,transfer_800t,Clamper upper error' sensor,2026-07-17 06:35:11.487156+00
0701978d-f8e9-4405-9167-d6d193514d2e,transfer_800t,MISSGRIP,2026-07-17 06:35:11.487156+00
07069d3e-f0d7-475c-a4a2-dc691bce2507,transfer_2000t,Problem skid lifter up,2026-07-17 06:35:11.487156+00
070abb25-1edb-4b1a-bbff-3f088f52063c,transfer_800t,Proses 6/8 ( lower gompal)dan 7/8 scurasi,2026-07-17 06:35:11.487156+00
076ec6a5-666a-4068-859a-00b8b1734ce5,transfer_800t,LIFT MATRIAL FEEDER NABRAK,2026-07-17 06:35:11.487156+00
07bee0ee-f0be-4484-83de-5a8d290bb65e,transfer_2000t,CEK FINGER ( AFTER PERBAIKAN INNER DISTANCE ),2026-07-17 06:35:11.487156+00
0866bd17-2b30-470d-8984-23b46b0891ff,blanking,Part sering dakon,2026-07-17 06:35:11.487156+00
08848b43-79b5-4c5d-914b-c40353ea1556,tandem,F/W brake fault + P/S lubrication off reset,2026-07-17 06:35:11.487156+00
089c4576-c57c-42f2-8e00-cfc29f4d714b,blanking,dakon,2026-07-17 06:35:11.487156+00
