id,mesin,value,created_at,next_processes,std_mp,std_ct,stroke_ratio,harga_pcs,alias_values
a1664321-7e6e-45d8-a1de-eb201fb7e543,pc200t,889FI-SH803S,2026-07-17 06:35:11.487156+00,[],null,0.20500000000000002,1,34369.12,[]
c2910d7e-4a63-40e7-9dae-fb99177d4da7,pc200t,889FI-SH804S,2026-07-17 06:35:11.487156+00,[],null,0.2025,1,28681.65,[]
722f3949-3271-4ae6-9059-02cce46ddd98,tandem,46514/5-77M00,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
78360542-775c-4de3-a6f0-df07f237b7cd,tandem,46541/2-77M00,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
330a0525-ac11-4492-9e06-7da85391c158,tandem,46543/4-77M00,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
a3fa839a-32fe-4a8c-a757-19bbf91f392d,tandem,57621/2-VT020,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
a704001d-1876-4b6b-885a-1dedd4761d97,blanking,46514/5-77M00-BL,2026-07-17 06:35:11.487156+00,"[{""line"":""tandem"",""part_number"":""46514/5-77M00""}]",null,0.06714285714285714,1,26058.03,[]
575ccf29-89c8-4344-89c3-bd2218f213b8,tandem,61233-KK010,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
e1598652-64cc-4f72-abac-0bd012a2d689,tandem,61233/4-0D340-001,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
9645be0c-1e09-4442-aa0b-2b71a7327881,tandem,61415/6-0D120,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
d6aa321f-07dd-44dc-93c9-27d133c9b6bd,tandem,62114/314-73R00,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
52f8a684-708d-408e-be6d-0e2c95f01954,tandem,62115/315-73R00,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
8d6cdd0f-ef07-4ba0-855a-6a1980e631c9,tandem,62118/318-73R00,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
426a56bf-6f3f-4fbc-98cf-c652cd2e7751,tandem,62211/411-73R00,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
b4dd17d5-6443-4cae-99e0-31f3e213a905,blanking,53735-VT020-BL,2026-07-17 06:35:11.487156+00,"[{""line"":""transfer_2000t"",""part_number"":""53735-VT020-001""}]",null,0.043333333333333335,1,36207.24,[]
2644d771-4a9c-4cc9-8966-d355e95c65fb,pc200t,889FI-SH804S-D,2026-08-04 03:46:50.342859+00,[],null,0.1,1,null,[]
a6a0cf61-9c0e-4294-8196-c13be16b52ef,tandem,74U50-FLP01S,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
86822b20-a8d0-49ec-9c37-3fb955cca31a,tandem,74U50-SH407S/408S,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
781a72de-cfa8-4297-8800-d449ea79d97c,blanking,53322-0D080-BL,2026-07-22 03:29:50.645646+00,[],null,null,1,24051.12,[]
038692a3-b49e-4d73-be33-7216125af3d5,blanking,53322-0D090-BL,2026-07-22 03:29:50.645646+00,[],null,null,1,26717.88,[]
08a151ce-3996-41b5-ac9c-b6cc06279fba,tandem,DAND0RI,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
68d36d91-5635-4765-a16c-6a802892f100,tandem,DEGREASING FLANGE,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
166aa8ae-b047-41f0-97f1-59db0efaca17,tandem,KAIZEN,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
2025fe3d-031b-4f7f-b04f-875d9c0e0a44,tandem,PREPARE DIES TANDEM LAMA,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
a3f3dd05-804e-4e09-861e-77baadeaf4dd,tandem,SERVICE PART,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
201a47e9-f382-467e-827e-34d62cf75955,tandem,STOP LINE TERENCANA,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
1a8fabf0-c806-472a-8399-635d2a34e755,tandem,SUPPORT PROD PA 7 DAN PA 9,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
c18e7e41-8dfa-4584-baeb-f9be663615ec,tandem,TRAINING,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
795de702-38cd-445e-87c3-bf21fb34e56c,tandem,61122-KK010-001-TDM,2026-08-04 03:46:50.342859+00,[],null,0.375,1,null,[]
d06b637b-1d23-4eaf-bec5-8066a275393f,blanking,61173/4-KK020-001,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
c607064b-3814-455a-8aa9-5e744197e5a4,blanking,62112/312-73R00,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
82704c6f-a29b-456f-8244-36a29a31217e,blanking,62122/322-73R00,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
961158eb-c441-4236-be2e-5bfe1794cd16,blanking,57695/6-VT020,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
63733c79-8557-4878-ba1c-0a282508a6d9,blanking,61233/4-KK010-BL,2026-07-17 06:35:11.487156+00,"[{""line"":""transfer_800t"",""part_number"":""61233-KK010""},{""line"":""transfer_800t"",""part_number"":""61234-KK010""}]",null,null,1,null,[]
87a8358a-89ae-4164-9e8f-0a41756a2ca5,blanking,62133/333-73R00-BL,2026-07-17 06:35:11.487156+00,"[{""line"":""tandem"",""part_number"":""62133-73R00""},{""line"":""tandem"",""part_number"":""62333-73R00""}]",null,null,1,null,[]
2f763da8-6b06-49f6-8ade-e768a5a96411,blanking,53322-0D120-BL,2026-07-22 03:29:50.645646+00,[],null,null,1,21563.04,[]
9e1e0fab-bcd5-4493-b96c-b4242d70d802,blanking,53322-0D150-BL,2026-07-22 03:29:50.645646+00,[],null,null,1,20229.66,[]
56c78e22-735f-41fa-8578-4b7f86b5c030,blanking,53324-0D160-BL,2026-07-22 03:29:50.645646+00,[],null,null,1,13269.64,[]
bdb4e44c-2fc2-4033-9505-8e4f6c6be98b,blanking,53324-0D190-BL,2026-07-22 03:29:50.645646+00,[],null,null,1,13490.37,[]
a025d361-e01e-4d0a-a075-310713ab2fb9,tandem,61233-KK010-TDM,2026-08-04 03:46:50.342859+00,[],null,0.3243243243243243,1,null,[]
0ec77e11-5eae-49ff-9032-a124f651dc1f,blanking,53723/4-0D060-BL,2026-07-22 03:29:50.645646+00,[],null,null,1,22079.11,[]
81a75930-28c2-4d55-9b48-974763c64e5a,blanking,53727-0D090-BL,2026-07-22 03:29:50.645646+00,[],null,null,1,26034.96,[]
97be1ca6-b106-4056-bfb2-fe26760e62e5,blanking,D41EI-CA006S-904-BL,2026-07-17 06:35:11.487156+00,[],null,null,1,null,[]
540f6c96-0dc7-4e2c-8ed9-477ec1ee6e9a,tandem,67175/6-0D110/100-TDM,2026-07-17 06:35:11.487156+00,[],null,0.3243243243243243,1,null,[]
c1a6a703-33aa-4b55-8701-bd785c9a1235,tandem,67177-0D010-TDM,2026-08-04 03:46:50.342859+00,[],null,0.375,1,null,[]
00955abf-c7e9-4ad5-a766-ac7524b02066,tandem,67178-0D010-TDM,2026-08-04 03:46:50.342859+00,[],null,0.375,1,null,[]
