id,tahun,bulan,scrap_value_kidr,total_value_kidr,target_rasio,created_at
04ba8de2-9b55-4bf2-a4c5-1750cb2594e3,2026,8,0.0,0,,2026-07-22 03:30:08.878898+00
078935cc-fce2-4c33-90c8-bba5dd7d8172,2024,2,83959.873,13315837.032,0.0065,2026-07-22 03:30:08.878898+00
0e71eb1b-3c75-4d56-b649-a9d556686cc2,2025,10,82703.22,16792508.619,0.0065,2026-07-22 03:30:08.878898+00
0ed1fc14-c922-4416-a136-870f4e2b4e07,2024,3,97696.628,15892826.807,0.0065,2026-07-22 03:30:08.878898+00
11b57e9f-dea2-4729-ac7e-883cad4e4707,2026,9,0.0,0,,2026-07-22 03:30:08.878898+00
12c10651-5b18-45ec-9fad-a72fd4af1cba,2025,8,84962.719,15764058.376,0.0065,2026-07-22 03:30:08.878898+00
131b893a-7005-4b71-8be9-f50a107702e5,2026,3,37695.968,8959328.312,0.0065,2026-07-22 03:30:08.878898+00
236f8650-a2a0-4bed-94de-1432648cba63,2025,5,70476.755,13368067.12,0.0065,2026-07-22 03:30:08.878898+00
31740b49-56d0-42dc-9f29-45a8876d74bf,2024,9,75427.024,13072204.054,0.0065,2026-07-22 03:30:08.878898+00
388b664f-5610-4eb2-a620-2b14635b1a7c,2024,1,92408.424,15440509.525,0.0065,2026-07-22 03:30:08.878898+00
38d46302-15da-4c05-8269-a7a0ca6ce4d8,2023,8,94736.78,13373100.818,0.0065,2026-07-22 03:30:08.878898+00
3a50ee6b-29fa-44f9-baed-dfb206815c07,2026,2,58182.602,13718817.954,0.0065,2026-07-22 03:30:08.878898+00
3c3105ea-f521-4e38-8af4-e6441aff1d24,2024,10,99170.076,15280241.248,0.0065,2026-07-22 03:30:08.878898+00
477b175f-23e2-413a-aae8-e3fa9dec1d6f,2023,5,64276.212,8893769.018,0.0065,2026-07-22 03:30:08.878898+00
484bbe11-3ad5-445f-a5c1-0100cc43f612,2025,3,70410.714,12909900.898,0.0065,2026-07-22 03:30:08.878898+00
4b8b101f-c094-4ecc-b50d-673c27acce5c,2027,2,0.0,0,,2026-07-22 03:30:08.878898+00
50930a2a-9859-4228-9a59-49c0f529220a,2025,4,52348.529,9516727.135,0.0065,2026-07-22 03:30:08.878898+00
53b73e63-bd8a-4728-bba5-e61e51e2349f,2025,2,44172.951,6036294.461,0.0065,2026-07-22 03:30:08.878898+00
633b11b1-a542-4a2e-b0ea-fff81fc9cd11,2023,10,101822.413,15765096.072,0.0065,2026-07-22 03:30:08.878898+00
64ac6a03-1b51-4378-b76f-1615ede9c3a6,2025,7,91635.34,17294179.03,0.0065,2026-07-22 03:30:08.878898+00
